Tie	Sae
0.000000	0.437500
0.010000	0.487764
0.020000	0.538028
0.030000	0.588293
0.040000	0.638557
0.050000	0.688821
0.060000	0.739085
0.070000	0.789350
0.080000	0.839614
0.090000	0.889878
0.100000	0.940142
0.110000	0.990407
0.120000	1.040671
0.130000	1.050000
0.140000	1.050000
0.150000	1.050000
0.160000	1.050000
0.170000	1.050000
0.180000	1.050000
0.190000	1.050000
0.200000	1.050000
0.210000	1.050000
0.220000	1.050000
0.230000	1.050000
0.240000	1.050000
0.250000	1.050000
0.260000	1.050000
0.270000	1.050000
0.280000	1.050000
0.290000	1.050000
0.300000	1.050000
0.310000	1.050000
0.320000	1.050000
0.330000	1.050000
0.340000	1.050000
0.350000	1.050000
0.360000	1.050000
0.370000	1.050000
0.380000	1.050000
0.390000	1.050000
0.400000	1.050000
0.410000	1.050000
0.420000	1.050000
0.430000	1.050000
0.440000	1.050000
0.450000	1.050000
0.460000	1.050000
0.470000	1.050000
0.480000	1.050000
0.490000	1.050000
0.500000	1.050000
0.510000	1.050000
0.520000	1.050000
0.530000	1.050000
0.540000	1.050000
0.550000	1.046226
0.560000	1.023847
0.570000	1.002330
0.580000	0.981628
0.590000	0.961697
0.600000	0.942495
0.610000	0.923985
0.620000	0.906130
0.630000	0.888898
0.640000	0.872257
0.650000	0.856179
0.660000	0.840636
0.670000	0.825602
0.680000	0.811054
0.690000	0.796970
0.700000	0.783327
0.710000	0.770106
0.720000	0.757289
0.730000	0.744857
0.740000	0.732795
0.750000	0.721086
0.760000	0.709716
0.770000	0.698669
0.780000	0.687935
0.790000	0.677498
0.800000	0.667348
0.810000	0.657474
0.820000	0.647864
0.830000	0.638509
0.840000	0.629398
0.850000	0.620523
0.860000	0.611875
0.870000	0.603445
0.880000	0.595225
0.890000	0.587209
0.900000	0.579388
0.910000	0.571756
0.920000	0.564307
0.930000	0.557033
0.940000	0.549930
0.950000	0.542991
0.960000	0.536210
0.970000	0.529584
0.980000	0.523106
0.990000	0.516771
1.000000	0.510576
1.010000	0.504516
1.020000	0.498586
1.030000	0.492783
1.040000	0.487103
1.050000	0.481541
1.060000	0.476095
1.070000	0.470761
1.080000	0.465535
1.090000	0.460414
1.100000	0.455396
1.110000	0.450477
1.120000	0.445655
1.130000	0.440927
1.140000	0.436290
1.150000	0.431741
1.160000	0.427278
1.170000	0.422900
1.180000	0.418603
1.190000	0.414385
1.200000	0.410245
1.210000	0.406180
1.220000	0.402188
1.230000	0.398267
1.240000	0.394416
1.250000	0.390633
1.260000	0.386915
1.270000	0.383262
1.280000	0.379672
1.290000	0.376143
1.300000	0.372674
1.310000	0.369262
1.320000	0.365908
1.330000	0.362609
1.340000	0.359364
1.350000	0.356172
1.360000	0.353032
1.370000	0.349942
1.380000	0.346901
1.390000	0.343908
1.400000	0.340963
1.410000	0.338063
1.420000	0.335208
1.430000	0.332397
1.440000	0.329629
1.450000	0.326903
1.460000	0.324218
1.470000	0.321573
1.480000	0.318968
1.490000	0.316400
1.500000	0.313871
1.510000	0.311378
1.520000	0.308922
1.530000	0.306500
1.540000	0.304114
1.550000	0.301761
1.560000	0.299441
1.570000	0.297154
1.580000	0.294898
1.590000	0.292674
1.600000	0.290480
1.610000	0.288317
1.620000	0.286182
1.630000	0.284077
1.640000	0.281999
1.650000	0.279950
1.660000	0.277927
1.670000	0.275931
1.680000	0.273961
1.690000	0.272017
1.700000	0.270098
1.710000	0.268204
1.720000	0.266334
1.730000	0.264488
1.740000	0.262665
1.750000	0.260864
1.760000	0.259087
1.770000	0.257331
1.780000	0.255598
1.790000	0.253885
1.800000	0.252193
1.810000	0.250522
1.820000	0.248871
1.830000	0.247240
1.840000	0.245629
1.850000	0.244036
1.860000	0.242463
1.870000	0.240908
1.880000	0.239371
1.890000	0.237852
1.900000	0.236350
1.910000	0.234866
1.920000	0.233399
1.930000	0.231949
1.940000	0.230515
1.950000	0.229097
1.960000	0.227695
1.970000	0.226309
1.980000	0.224938
1.990000	0.223582
2.000000	0.222241
2.010000	0.220915
2.020000	0.219603
2.030000	0.218306
2.040000	0.217022
2.050000	0.215753
2.060000	0.214496
2.070000	0.213254
2.080000	0.212024
2.090000	0.210807
2.100000	0.209603
2.110000	0.208411
2.120000	0.207232
2.130000	0.206065
2.140000	0.204910
2.150000	0.203767
2.160000	0.202636
2.170000	0.201516
2.180000	0.200407
2.190000	0.199309
2.200000	0.198223
2.210000	0.197147
2.220000	0.196082
2.230000	0.195027
2.240000	0.193983
2.250000	0.192949
2.260000	0.191925
2.270000	0.190910
2.280000	0.189906
2.290000	0.188911
2.300000	0.187926
2.310000	0.186950
2.320000	0.185984
2.330000	0.185026
2.340000	0.184078
2.350000	0.183138
2.360000	0.182207
2.370000	0.181285
2.380000	0.180372
2.390000	0.179466
2.400000	0.178569
