Tie	Sai
0.000000	0.164062
0.010000	0.164062
0.020000	0.164062
0.030000	0.164062
0.040000	0.164062
0.050000	0.164062
0.060000	0.164062
0.070000	0.164062
0.080000	0.164062
0.090000	0.164062
0.100000	0.164062
0.110000	0.164062
0.120000	0.164062
0.130000	0.164062
0.140000	0.164062
0.150000	0.164062
0.160000	0.164062
0.170000	0.164062
0.180000	0.164062
0.190000	0.164062
0.200000	0.164062
0.210000	0.164062
0.220000	0.164062
0.230000	0.164062
0.240000	0.164062
0.250000	0.164062
0.260000	0.164062
0.270000	0.164062
0.280000	0.164062
0.290000	0.164062
0.300000	0.164062
0.310000	0.164062
0.320000	0.164062
0.330000	0.164062
0.340000	0.164062
0.350000	0.164062
0.360000	0.164062
0.370000	0.164062
0.380000	0.164062
0.390000	0.164062
0.400000	0.164062
0.410000	0.164062
0.420000	0.164062
0.430000	0.164062
0.440000	0.164062
0.450000	0.164062
0.460000	0.164062
0.470000	0.164062
0.480000	0.164062
0.490000	0.164062
0.500000	0.164062
0.510000	0.164062
0.520000	0.164062
0.530000	0.164062
0.540000	0.164062
0.550000	0.163473
0.560000	0.159976
0.570000	0.156614
0.580000	0.153379
0.590000	0.150265
0.600000	0.147265
0.610000	0.144373
0.620000	0.141583
0.630000	0.138890
0.640000	0.136290
0.650000	0.133778
0.660000	0.131349
0.670000	0.129000
0.680000	0.126727
0.690000	0.124526
0.700000	0.122395
0.710000	0.120329
0.720000	0.118326
0.730000	0.116384
0.740000	0.114499
0.750000	0.112670
0.760000	0.110893
0.770000	0.109167
0.780000	0.107490
0.790000	0.105859
0.800000	0.104273
0.810000	0.102730
0.820000	0.101229
0.830000	0.099767
0.840000	0.098343
0.850000	0.096957
0.860000	0.095605
0.870000	0.094288
0.880000	0.093004
0.890000	0.091751
0.900000	0.090529
0.910000	0.089337
0.920000	0.088173
0.930000	0.087036
0.940000	0.085927
0.950000	0.084842
0.960000	0.083783
0.970000	0.082747
0.980000	0.081735
0.990000	0.080746
1.000000	0.079778
1.010000	0.078831
1.020000	0.077904
1.030000	0.076997
1.040000	0.076110
1.050000	0.075241
1.060000	0.074390
1.070000	0.073556
1.080000	0.072740
1.090000	0.071940
1.100000	0.071156
1.110000	0.070387
1.120000	0.069634
1.130000	0.068895
1.140000	0.068170
1.150000	0.067460
1.160000	0.066762
1.170000	0.066078
1.180000	0.065407
1.190000	0.064748
1.200000	0.064101
1.210000	0.063466
1.220000	0.062842
1.230000	0.062229
1.240000	0.061628
1.250000	0.061036
1.260000	0.060456
1.270000	0.059885
1.280000	0.059324
1.290000	0.058772
1.300000	0.058230
1.310000	0.057697
1.320000	0.057173
1.330000	0.056658
1.340000	0.056151
1.350000	0.055652
1.360000	0.055161
1.370000	0.054678
1.380000	0.054203
1.390000	0.053736
1.400000	0.053275
1.410000	0.052822
1.420000	0.052376
1.430000	0.051937
1.440000	0.051505
1.450000	0.051079
1.460000	0.050659
1.470000	0.050246
1.480000	0.049839
1.490000	0.049438
1.500000	0.049042
1.510000	0.048653
1.520000	0.048269
1.530000	0.047891
1.540000	0.047518
1.550000	0.047150
1.560000	0.046788
1.570000	0.046430
1.580000	0.046078
1.590000	0.045730
1.600000	0.045388
1.610000	0.045049
1.620000	0.044716
1.630000	0.044387
1.640000	0.044062
1.650000	0.043742
1.660000	0.043426
1.670000	0.043114
1.680000	0.042806
1.690000	0.042503
1.700000	0.042203
1.710000	0.041907
1.720000	0.041615
1.730000	0.041326
1.740000	0.041041
1.750000	0.040760
1.760000	0.040482
1.770000	0.040208
1.780000	0.039937
1.790000	0.039670
1.800000	0.039405
1.810000	0.039144
1.820000	0.038886
1.830000	0.038631
1.840000	0.038379
1.850000	0.038131
1.860000	0.037885
1.870000	0.037642
1.880000	0.037402
1.890000	0.037164
1.900000	0.036930
1.910000	0.036698
1.920000	0.036469
1.930000	0.036242
1.940000	0.036018
1.950000	0.035796
1.960000	0.035577
1.970000	0.035361
1.980000	0.035147
1.990000	0.034935
2.000000	0.034725
2.010000	0.034518
2.020000	0.034313
2.030000	0.034110
2.040000	0.033910
2.050000	0.033711
2.060000	0.033515
2.070000	0.033321
2.080000	0.033129
2.090000	0.032939
2.100000	0.032750
2.110000	0.032564
2.120000	0.032380
2.130000	0.032198
2.140000	0.032017
2.150000	0.031839
2.160000	0.031662
2.170000	0.031487
2.180000	0.031314
2.190000	0.031142
2.200000	0.030972
2.210000	0.030804
2.220000	0.030638
2.230000	0.030473
2.240000	0.030310
2.250000	0.030148
2.260000	0.029988
2.270000	0.029830
2.280000	0.029673
2.290000	0.029517
2.300000	0.029363
2.310000	0.029211
2.320000	0.029060
2.330000	0.028910
2.340000	0.028762
2.350000	0.028615
2.360000	0.028470
2.370000	0.028326
2.380000	0.028183
2.390000	0.028042
2.400000	0.027901
2.410000	0.027763
2.420000	0.027625
2.430000	0.027489
2.440000	0.027353
2.450000	0.027220
2.460000	0.027087
2.470000	0.026955
2.480000	0.026825
2.490000	0.026696
2.500000	0.026568
2.510000	0.026441
2.520000	0.026315
2.530000	0.026190
2.540000	0.026066
2.550000	0.025944
2.560000	0.025822
2.570000	0.025702
2.580000	0.025582
2.590000	0.025464
2.600000	0.025346
2.610000	0.025230
2.620000	0.025114
2.630000	0.025000
2.640000	0.024886
2.650000	0.024773
2.660000	0.024662
2.670000	0.024551
2.680000	0.024441
2.690000	0.024332
2.700000	0.024224
2.710000	0.024117
2.720000	0.024010
2.730000	0.023905
2.740000	0.023800
2.750000	0.023696
2.760000	0.023593
2.770000	0.023491
2.780000	0.023390
2.790000	0.023289
2.800000	0.023189
2.810000	0.023090
2.820000	0.022992
2.830000	0.022895
2.840000	0.022798
2.850000	0.022702
2.860000	0.022607
2.870000	0.022512
2.880000	0.022419
2.890000	0.022326
2.900000	0.022233
2.910000	0.022142
2.920000	0.022051
2.930000	0.021960
2.940000	0.021871
2.950000	0.021782
2.960000	0.021694
2.970000	0.021606
2.980000	0.021519
2.990000	0.021433
3.000000	0.021347
3.010000	0.021262
3.020000	0.021177
3.030000	0.021094
3.040000	0.021010
3.050000	0.020928
3.060000	0.020846
3.070000	0.020764
3.080000	0.020640
3.090000	0.020507
3.100000	0.020375
3.110000	0.020244
3.120000	0.020114
3.130000	0.019986
3.140000	0.019859
3.150000	0.019733
3.160000	0.019608
3.170000	0.019485
3.180000	0.019363
3.190000	0.019241
3.200000	0.019121
3.210000	0.019002
3.220000	0.018885
3.230000	0.018768
3.240000	0.018652
3.250000	0.018537
3.260000	0.018424
3.270000	0.018311
3.280000	0.018200
3.290000	0.018089
3.300000	0.017980
3.310000	0.017872
3.320000	0.017764
3.330000	0.017657
3.340000	0.017552
3.350000	0.017447
3.360000	0.017344
3.370000	0.017241
3.380000	0.017139
3.390000	0.017038
3.400000	0.016938
3.410000	0.016839
3.420000	0.016740
3.430000	0.016643
3.440000	0.016546
3.450000	0.016451
3.460000	0.016356
3.470000	0.016261
3.480000	0.016168
3.490000	0.016076
3.500000	0.015984
3.510000	0.015893
3.520000	0.015803
3.530000	0.015713
3.540000	0.015625
3.550000	0.015537
3.560000	0.015450
3.570000	0.015363
3.580000	0.015277
3.590000	0.015192
3.600000	0.015108
3.610000	0.015025
3.620000	0.014942
3.630000	0.014860
3.640000	0.014778
3.650000	0.014697
3.660000	0.014617
3.670000	0.014537
3.680000	0.014458
3.690000	0.014380
3.700000	0.014303
3.710000	0.014226
3.720000	0.014149
3.730000	0.014073
3.740000	0.013998
3.750000	0.013924
3.760000	0.013850
3.770000	0.013776
3.780000	0.013704
3.790000	0.013631
3.800000	0.013560
3.810000	0.013489
3.820000	0.013418
3.830000	0.013348
3.840000	0.013279
3.850000	0.013210
3.860000	0.013141
3.870000	0.013074
3.880000	0.013006
3.890000	0.012940
3.900000	0.012873
3.910000	0.012807
3.920000	0.012742
3.930000	0.012677
3.940000	0.012613
3.950000	0.012549
3.960000	0.012486
3.970000	0.012423
3.980000	0.012361
3.990000	0.012299
