
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2025-11-21


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.0
Magnitude Max:, 7.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 20.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 10.0
D9-95 Max (sec):, 70.0
Scale Factor Min:, 0.1
Scale Factor Max:, 5.0
Period Array:, 0.8,1,1.2
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Reverse/Oblique


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 755, 0.0075, 1.3757, -, 6.0, 15.7, 1.5, "Loma Prieta", 1989, "Coyote Lake Dam - Southwest Abutment", 6.93, Reverse Oblique, 19.97, 20.34, 561.43, 0.1625, 1.3787, RSN755_LOMAP_CYC195.AT2, RSN755_LOMAP_CYC285.AT2 , RSN755_LOMAP_CYC-UP.AT2  
2, SRSS, 1006, 0.0025, 1.9658, -, 5.8, 11.3, 1.6, "Northridge-01", 1994, "LA - UCLA Grounds", 6.69, Reverse, 13.8, 22.49, 398.42, 0.16, 1.9701, RSN1006_NORTHR_UCL090.AT2, RSN1006_NORTHR_UCL360.AT2 , RSN1006_NORTHR_UCL-UP.AT2  
3, SRSS, 2627, 0.0078, 0.9484, -, 3.7, 12.5, 1.0, "Chi-Chi_ Taiwan-03", 1999, "TCU076", 6.2, Reverse, 13.04, 14.66, 614.98, 0.07, 0.9505, RSN2627_CHICHI.03_TCU076N.AT2, RSN2627_CHICHI.03_TCU076E.AT2 , RSN2627_CHICHI.03_TCU076V.AT2  
4, SRSS, 2658, 0.0015, 1.6413, -, 4.2, 13.5, 1.4, "Chi-Chi_ Taiwan-03", 1999, "TCU129", 6.2, Reverse, 10.95, 12.83, 511.18, 0.08, 1.6449, RSN2658_CHICHI.03_TCU129N.AT2, RSN2658_CHICHI.03_TCU129E.AT2 , RSN2658_CHICHI.03_TCU129V.AT2  
5, SRSS, 4843, 0.0043, 2.6678, -, 7.2, 19.9, 0.7, "Chuetsu-oki_ Japan", 2007, "Matsushiro Tokamachi", 6.8, Reverse, 18.16, 25.03, 640.14, 0.05, 2.6736, RSN4843_CHUETSU_65006NS.AT2, RSN4843_CHUETSU_65006EW.AT2 , RSN4843_CHUETSU_65006UD.AT2  
6, SRSS, 4848, 0.0035, 2.5171, -, 6.1, 16.6, 0.7, "Chuetsu-oki_ Japan", 2007, "Joetsu Ogataku", 6.8, Reverse, 16.77, 17.93, 414.23, 0.0875, 2.5226, RSN4848_CHUETSU_65011NS.AT2, RSN4848_CHUETSU_65011EW.AT2 , RSN4848_CHUETSU_65011UD.AT2  
7, SRSS, 4882, 0.0077, 2.2193, -, 7.4, 22.7, 1.8, "Chuetsu-oki_ Japan", 2007, "Ojiya City", 6.8, Reverse, 15.89, 23.44, 430.16, 0.1, 2.2242, RSN4882_CHUETSU_65321NS.AT2, RSN4882_CHUETSU_65321EW.AT2 , RSN4882_CHUETSU_65321UD.AT2  
8, SRSS, 5265, 0.0039, 1.9683, -, 8.1, 22.8, 2.7, "Chuetsu-oki_ Japan", 2007, "NIG019", 6.8, Reverse, 15.78, 23.36, 372.33, 0.1125, 1.9726, RSN5265_CHUETSU_NIG019NS.AT2, RSN5265_CHUETSU_NIG019EW.AT2 , RSN5265_CHUETSU_NIG019UD.AT2  
9, SRSS, 5478, 0.0075, 1.6149, -, 6.7, 10.1, 2.3, "Iwate_ Japan", 2008, "AKT023", 6.9, Reverse, 11.68, 16.96, 555.96, 0.125, 1.6185, RSN5478_IWATE_AKT023NS.AT2, RSN5478_IWATE_AKT023EW.AT2 , RSN5478_IWATE_AKT023UD.AT2  
10, SRSS, 5664, 0.0056, 1.1367, -, 17.0, 42.5, 4.2, "Iwate_ Japan", 2008, "MYG005", 6.9, Reverse, 10.71, 13.47, 361.24, 0.0875, 1.1392, RSN5664_IWATE_MYG005NS.AT2, RSN5664_IWATE_MYG005EW.AT2 , RSN5664_IWATE_MYG005UD.AT2  
11, SRSS, 8833, 0.0039, 3.4464, -, 2.2, 11.0, 0.1, "14383980", 2008, "Puddingstone Reservoir", 5.39, Reverse Oblique, 14.6, 20.39, 462.66, 0.325, 3.4539, RSN8833_14383980_CIPSRHNN.AT2, RSN8833_14383980_CIPSRHNE.AT2 , RSN8833_14383980_CIPSRHNZ.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-755 SRSS pSa (g),RSN-1006 SRSS pSa (g),RSN-2627 SRSS pSa (g),RSN-2658 SRSS pSa (g),RSN-4843 SRSS pSa (g),RSN-4848 SRSS pSa (g),RSN-4882 SRSS pSa (g),RSN-5265 SRSS pSa (g),RSN-5478 SRSS pSa (g),RSN-5664 SRSS pSa (g),RSN-8833 SRSS pSa (g)
0.01,0.6330412,0.92762381,1.311505,0.65610573,0.69973739,1.10643751,0.51877281,1.68949149,0.7239692,0.95593225,1.07900821,1.20730897,0.86353169,0.80890345,0.55076897
0.02,0.7067824,0.93046758,1.32021923,0.65577739,0.70861809,1.10522933,0.53402736,1.7244358,0.71691518,0.95031353,1.06138276,1.20187185,0.8671915,0.81434142,0.55081658
0.022,0.72346421,0.94455943,1.34604741,0.66282399,0.71024262,1.21797336,0.53688158,1.73658689,0.71794603,0.95675362,1.0649029,1.20437114,0.87182406,0.82052757,0.55214399
0.025,0.74645828,0.96432871,1.38142801,0.67316563,0.71393965,1.32914199,0.5479777,1.75141105,0.72012251,0.97022107,1.10177922,1.20875566,0.88020055,0.83218804,0.55187834
0.029,0.77407378,0.95832825,1.35852544,0.67602197,0.70626709,1.21037541,0.52437009,1.73112073,0.72622208,0.99075188,1.11711758,1.21435438,0.89404195,0.86829592,0.55869366
0.03,0.7805236,0.96115543,1.35608747,0.68123907,0.70424387,1.1771277,0.52862021,1.72706867,0.72797031,0.99629,1.12374613,1.2229946,0.90013493,0.90345178,0.56106153
0.032,0.79649235,0.97338318,1.35919568,0.69708493,0.71756617,1.20795478,0.54496931,1.70046232,0.73108011,1.01098719,1.12356007,1.23514802,0.91749649,0.96254561,0.55544496
0.035,0.81920824,0.99584138,1.38726117,0.71486182,0.74201917,1.30841516,0.58358381,1.7255423,0.73677924,1.0088431,1.11055976,1.24962791,0.92968081,0.99346897,0.56573492
0.036,0.8264823,0.99556073,1.39233943,0.71185312,0.74926762,1.30778391,0.58786789,1.74925593,0.73741832,1.02158055,1.11679695,1.24725207,0.91379211,0.94895256,0.57120014
0.04,0.8542648,1.00639438,1.41493578,0.71581316,0.76559749,1.25530363,0.60436084,1.81272231,0.73195557,0.98546281,1.14852874,1.26090668,0.98266521,0.9617185,0.56111637
0.042,0.86987081,1.03203248,1.45290701,0.73307585,0.78770103,1.346643,0.59097407,1.84343466,0.73914368,0.95943877,1.15399074,1.23657362,1.07031077,1.04983753,0.57430946
0.044,0.88501613,1.05242315,1.47962888,0.74856236,0.80741378,1.37299713,0.58246954,1.86235175,0.73895999,0.99964462,1.15342488,1.23527622,1.15214417,1.08721933,0.58475322
0.045,0.8924267,1.05387783,1.48440731,0.74821679,0.81316911,1.37797038,0.58202381,1.87645524,0.73887603,1.01181154,1.15306409,1.24821361,1.11676653,1.08688762,0.58741812
0.046,0.8997344,1.0660236,1.50301951,0.75608222,0.81476405,1.38754733,0.58842672,1.90350794,0.74279514,1.01169936,1.15131572,1.25686926,1.14995696,1.12045865,0.5989185
0.048,0.91405548,1.087726,1.53191966,0.77233023,0.84318207,1.34162445,0.59495788,1.95336253,0.75688309,1.01385391,1.15720366,1.24271951,1.18143901,1.26654304,0.6132169
0.05,0.928006,1.10683359,1.55994732,0.78533459,0.85144254,1.28307323,0.5882125,1.97105949,0.76108952,1.05797165,1.1685574,1.21120018,1.29084112,1.36972142,0.62200045
0.055,0.96585118,1.14105724,1.63810078,0.79482998,0.86687875,1.32643975,0.58912069,2.03559969,0.79896826,1.154334,1.2140106,1.21001467,1.61268824,1.15761314,0.58596182
0.06,1.0017472,1.17952896,1.6775973,0.82933405,0.8109557,1.46908132,0.65509903,2.02916725,0.75848746,1.24912044,1.27661113,1.22709885,1.57620428,1.30506746,0.61792563
0.065,1.03938332,1.25732669,1.83568423,0.86118864,0.80118863,1.60293739,0.67169509,2.16948303,0.80780183,1.23216371,1.35856915,1.26107982,1.73482317,1.59263954,0.59821226
0.067,1.05399911,1.28574723,1.89492102,0.87240889,0.81638048,1.72368284,0.66374412,2.2001339,0.79341969,1.22446854,1.40980132,1.291745,1.70444649,1.71918441,0.59621279
0.07,1.0754884,1.3527528,2.04292472,0.89574527,0.79908147,1.8071488,0.65176907,2.26451765,0.8086703,1.27322046,1.45863427,1.32718373,1.89446351,1.99471865,0.60087293
0.075,1.11297816,1.48927664,2.33556223,0.94964068,0.80956416,1.99389575,0.6166557,2.42121648,0.89714388,1.55641515,1.45791561,1.38346335,2.03795237,2.57817317,0.6296474
0.08,1.1492296,1.52991483,2.47156713,0.94702643,0.79889415,1.87822432,0.57028232,2.4164487,0.94664047,1.63385366,1.43506542,1.39552927,2.1229435,2.9705171,0.66066426
0.085,1.18661237,1.56883745,2.58438569,0.95235434,0.81221512,2.16247673,0.54970813,2.28620474,0.99368622,1.60756446,1.63056486,1.32835999,2.01450775,3.24081456,0.63110935
0.09,1.2229708,1.66400961,2.71089541,1.02140716,0.84700302,2.47394687,0.56017639,2.20055885,1.01325698,1.83993383,1.66994387,1.39123583,2.62923619,3.04418939,0.63462449
0.095,1.26027272,1.72232379,2.8047861,1.05762048,0.85125423,2.69672484,0.56659767,2.27140345,1.00954027,1.9373747,1.72894786,1.3963928,3.01784762,2.75331584,0.71616237
0.1,1.296712,1.75902164,2.80632988,1.10256358,0.87492504,2.75193474,0.57324429,2.31021114,1.13899968,1.9191769,1.93748338,1.4645927,3.15630856,2.45513172,0.76722984
0.11,1.34232,1.74433319,2.61017798,1.16570529,0.88924143,2.50318836,0.56891656,2.25712026,1.32583565,1.79110323,2.38973184,1.65056329,2.23553187,2.69310151,0.88333109
0.12,1.34232,1.83968532,2.75845874,1.22693228,1.09807596,2.40218119,0.63962971,2.7448726,1.25038506,1.86269351,2.76705488,1.59150122,2.16455104,2.75426535,0.961328
0.13,1.34232,1.85544083,2.8423866,1.21118664,1.1346818,1.98849411,0.68038212,3.11385685,1.23384803,1.88997617,3.10222989,1.49917943,2.55363504,2.20156199,1.0120037
0.133,1.34232,1.84242598,2.85104144,1.19062931,1.10495512,1.93307556,0.68845422,3.06071628,1.21858859,1.85588074,3.1893211,1.47480162,2.66579782,2.06066947,1.01442528
0.14,1.34232,1.87054012,2.93530289,1.19201338,1.06032958,2.20392849,0.69814183,2.99491067,1.26620392,2.12288697,3.56374085,1.54753287,2.38703622,1.70540985,1.02582005
